loan_id|loan_type|loan_amount|interest_rate
1|Personal|253107.92|7.19
2|Auto|325126.08|1.54
3|Student|242420.72|2.44
4|Mortgage|401506.99|9.49
5|Student|96343.6|6.56
6|Mortgage|276804.88|4.3
7|Personal|308450.57|5.09
8|Mortgage|480226.31|3.57
9|Personal|282215.64|3.15
10|Student|494229.18|6.58
11|Student|208347.34|7.03
12|Student|136295.32|5.97
13|Personal|137543.74|9.09
14|Personal|368051.09|2.37
15|Mortgage|329372.29|2.32
16|Mortgage|186835.92|7.78
17|Mortgage|470409.16|8.24
18|Auto|383846.73|2.81
19|Auto|372860.64|5.22
20|Personal|365194.38|4.16
21|Mortgage|32870.44|3.35
22|Personal|121635.53|6.73
23|Student|294387.05|7.36
24|Student|389809.03|5.14
25|Auto|493436.37|2.81
26|Auto|395436.65|5.07
27|Auto|371179.78|6.61
28|Mortgage|178983.45|8.38
29|Student|173939.26|2.58
30|Student|414912.1|9.99
31|Student|144521.14|8.74
32|Student|63126.62|9.61
33|Personal|381141.48|3.12
34|Personal|485151.78|2.41
35|Student|44909.81|7.12
36|Personal|386275.12|4.83
37|Mortgage|248414.72|7.0
38|Personal|380042.33|9.45
39|Personal|209852.32|2.51
40|Auto|54073.6|2.39
41|Auto|92482.33|3.2
42|Auto|215165.56|2.62
43|Personal|293207.28|2.53
44|Personal|237416.94|7.6
45|Mortgage|29571.93|6.9
46|Student|115425.94|9.12
47|Mortgage|228540.9|4.79
48|Mortgage|261720.93|9.67
49|Personal|462690.58|6.2
50|Mortgage|389395.79|6.56
