interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
17124|64|82|4|50|Email|4
31999|829|32|5|44|Call|2
77262|971|48|4|29|In-Person|1
83346|475|48|2|4|Email|5
58053|725|14|5|17|Call|5
51405|1624|48|4|40|Chat|4
14919|1503|21|4|16|Call|4
55781|1213|65|5|9|Email|1
38544|1082|4|5|39|Chat|1
40339|603|38|1|50|Chat|2
82371|42|75|4|38|Call|5
87952|409|84|4|36|Call|5
99280|1675|79|4|37|In-Person|1
25053|551|56|2|8|In-Person|1
59298|1367|13|4|35|Chat|5
14547|1522|27|3|49|Email|2
36964|599|65|4|9|In-Person|5
70222|1309|29|2|10|Call|3
14935|1712|46|5|16|Call|1
5732|967|65|1|30|Chat|3
84137|1282|54|1|28|Chat|4
83657|848|91|5|23|Email|3
71603|1215|19|5|23|Call|2
46174|462|46|5|22|In-Person|3
71655|932|26|3|30|In-Person|3
53228|941|10|5|14|In-Person|4
1929|561|52|4|25|Email|5
3312|1726|96|1|32|In-Person|4
65814|228|9|4|9|In-Person|2
17055|46|74|3|17|Chat|2
49325|1362|97|1|43|Chat|1
7974|1559|74|1|18|Chat|4
50501|779|94|5|32|Chat|5
90792|902|82|5|21|Email|3
83528|844|56|3|16|In-Person|1
7492|1783|55|1|10|Call|1
47780|754|42|3|43|In-Person|4
24005|1660|50|1|43|In-Person|4
40340|916|69|5|22|In-Person|5
62569|1530|1|2|1|Chat|3
80724|80|100|3|7|Call|1
73178|833|68|5|47|Email|5
52534|480|24|4|6|Email|5
72745|718|39|5|41|Email|5
85782|321|4|4|40|In-Person|1
62034|1574|97|2|44|Chat|3
39094|1267|66|5|32|Call|2
48028|1091|1|4|27|Chat|1
85178|1729|80|3|1|Chat|2
44298|819|49|1|26|Chat|4
75807|585|73|1|37|Email|5
24331|369|86|4|28|In-Person|2
35543|717|43|4|3|Chat|2
78008|1018|17|2|26|Email|1
89172|1637|1|5|46|In-Person|2
88287|291|36|3|42|Chat|3
12467|896|66|4|1|In-Person|3
31264|1577|64|4|24|Email|2
78848|1561|26|5|27|Email|2
5963|1144|88|3|31|Chat|1
15867|969|10|5|14|Chat|5
99929|855|14|2|43|In-Person|1
48272|1671|65|2|6|Chat|2
79264|1674|34|2|50|In-Person|3
79367|1428|86|4|14|Call|1
22314|1287|44|3|8|Call|1
80064|1102|19|5|23|In-Person|4
9521|1021|85|2|5|Call|2
72627|1585|82|3|26|Email|1
62646|32|65|5|48|Chat|3
81213|363|82|5|24|Chat|3
47011|1037|31|3|11|Email|2
15224|213|19|3|43|Email|1
57031|593|45|4|44|Call|4
79788|603|2|1|7|Chat|1
26284|1279|62|5|42|Email|1
3047|1561|28|3|39|In-Person|5
86996|172|74|1|6|In-Person|1
58073|1531|4|5|24|Email|5
52619|1374|45|3|28|Call|3
68365|153|49|5|38|Email|2
56451|801|6|2|17|In-Person|3
64192|253|13|1|29|In-Person|2
65290|1604|91|3|46|Call|1
89255|1105|91|3|8|In-Person|4
5955|1243|69|4|22|Email|5
92685|1097|88|3|6|In-Person|5
26199|1138|66|5|43|Chat|1
41363|1162|19|3|10|Call|3
94299|1742|52|3|43|Call|4
50073|1610|92|4|35|Email|2
51790|1152|22|2|9|Email|1
42776|612|51|3|4|Call|5
57568|1319|87|3|45|Chat|3
3966|1328|67|1|48|Chat|1
91842|630|28|2|48|Email|2
63504|748|7|1|27|In-Person|1
35497|301|55|1|24|Call|1
40158|1743|23|5|22|In-Person|4
73826|1408|73|1|32|Call|5
37297|1391|64|1|46|Call|1
81191|579|24|3|25|Email|5
84657|18|43|2|14|Email|4
62675|387|75|3|40|Chat|3
86888|842|39|5|6|Call|1
29033|1059|89|1|36|In-Person|4
18960|360|94|4|5|Email|1
1571|247|23|3|41|In-Person|1
92249|1678|60|5|2|Call|1
61152|737|15|4|41|Call|3
24174|1495|52|5|16|Email|2
61371|1161|45|1|17|Call|2
41653|121|32|2|15|Email|4
62565|208|11|2|1|In-Person|5
38105|201|42|2|45|Email|4
10066|1047|31|2|7|Email|2
91854|533|34|1|9|Chat|2
34178|1703|57|2|38|Email|4
17479|1661|40|4|4|Call|3
31961|725|7|5|38|Call|4
72737|431|63|3|43|Call|2
88278|729|97|2|20|In-Person|2
96669|1731|34|4|48|In-Person|3
62840|931|87|4|1|Email|4
1210|1017|74|5|35|Email|1
43589|1205|70|3|8|Email|3
20179|1280|68|4|34|Email|5
95561|1209|31|2|19|In-Person|2
84834|1196|76|1|48|Email|4
75570|475|27|4|31|Call|3
54161|540|47|3|46|Email|1
92603|622|15|5|15|Call|2
64144|1590|96|5|33|Chat|4
98258|1436|19|3|25|In-Person|2
96990|1558|36|3|25|Chat|4
23358|847|97|3|47|Chat|2
89016|164|17|2|37|In-Person|1
73564|1350|47|4|22|Call|3
40557|1553|75|2|30|Email|5
47679|684|61|5|29|In-Person|2
91827|138|8|4|12|Call|5
17637|645|25|1|3|Call|4
51898|798|29|1|5|Call|1
95209|1819|80|1|5|Email|2
72166|1791|96|4|44|Chat|2
34732|1322|38|2|6|Call|5
40769|860|89|5|3|In-Person|4
1718|823|2|5|32|Chat|4
32120|1496|92|4|50|Call|3
78124|56|5|1|43|Chat|1
53259|1798|20|1|17|Call|2
32233|233|61|1|34|Call|1
17963|440|86|4|18|In-Person|5
27214|855|45|2|29|Call|4
74274|1086|52|2|3|Chat|3
25674|30|95|4|7|Call|4
90051|1080|42|5|22|Call|5
74263|1331|80|1|36|Call|3
50837|1714|13|4|26|Email|4
42105|1621|96|4|50|Call|2
59899|1725|1|5|38|Call|5
9743|596|79|3|19|In-Person|3
80601|1252|100|3|48|In-Person|4
61209|737|60|5|40|In-Person|5
71127|500|4|3|12|Chat|4
55553|1086|87|4|5|In-Person|5
30188|633|20|2|14|In-Person|4
82270|22|76|4|43|Email|3
56122|118|16|1|21|Email|1
43530|231|62|3|38|Call|4
71533|386|22|3|26|Email|5
57806|261|40|5|19|Email|5
3492|499|83|4|40|Chat|2
49104|131|55|2|11|Call|5
83044|1565|95|4|42|Email|1
65448|577|41|4|36|Chat|3
46525|1420|83|3|50|Email|5
9435|229|51|3|17|Email|3
47129|895|64|3|20|Call|5
14548|175|85|3|1|Email|4
