balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
54698|1639|43|2|557259.15|699283.48|227004.78
16409|959|56|3|77472.06|79072.71|509010.37
78922|1330|29|3|845009.16|884261.08|480430.625
75280|1142|92|2|62009.29|541699.49|321727.045
4168|462|20|1|828785.28|145523.32|427624.11
22556|892|98|2|399879.79|224047.96|351158.43
96793|464|83|1|976701.02|455661.01|667358.09
18491|171|50|2|78699.82|600890.57|652478.9
24656|508|38|3|54987.37|858728.15|69297.805
43902|979|74|3|473008.69|375488.51|511279.68
69138|302|25|2|195492.48|875986.22|551092.0
54988|1128|37|2|639550.61|747813.14|278488.93
64664|694|23|2|204348.36|390777.85|458961.775
16743|1420|93|3|177836.1|849957.21|478967.38
41058|1781|44|1|83448.11|903530.64|374541.55
41263|1280|13|2|275458.69|692536.65|209330.615
67510|490|53|1|517904.89|419706.63|204265.72
6062|1045|52|3|501698.82|477690.34|901543.92
75680|486|54|3|393976.27|608824.25|541479.525
92263|1109|93|1|563550.66|974444.81|776081.375
15484|1505|33|1|322857.79|238787.02|545222.66
63147|1468|44|2|605338.34|96931.0|376801.08
99125|908|1|3|296460.05|384383.63|327054.265
15516|580|2|2|79429.33|869495.24|413448.055
45583|47|6|3|239809.72|296016.68|405292.795
71808|494|6|2|318264.37|635842.62|366175.87
5088|380|29|2|585429.17|659562.14|231608.135
67813|1360|89|2|553864.64|990964.89|507418.435
37111|1403|45|3|380909.01|493119.21|541222.42
94302|1710|37|3|556553.99|133416.53|724090.235
3731|1073|28|3|232552.2|910013.5|325104.545
27499|1120|17|1|132832.92|978218.37|360380.04
13426|1514|84|2|322851.31|229285.23|500803.415
579|150|51|3|786549.47|936901.4|617132.265
39494|130|100|2|225180.47|726943.71|592185.935
19455|355|89|1|75944.79|654721.24|610512.065
81513|811|24|1|135099.47|315282.75|520671.09
90667|1733|27|2|810259.06|987142.89|349225.29
89046|700|78|3|575430.6|234867.2|371274.99
5023|1590|68|1|791568.23|684281.63|463624.425
87921|1492|87|3|655559.93|826893.09|596582.84
7956|1489|39|1|822211.33|803986.39|325516.56
85266|475|93|1|806751.81|613651.56|372207.61
78251|441|61|3|894141.69|160437.45|882934.465
48039|500|16|3|68482.59|577368.38|358507.955
14192|1464|16|3|284522.65|623498.02|327813.345
80128|1451|32|2|784656.48|533379.95|140880.825
16759|111|1|1|957007.62|2586.57|607311.435
55012|1801|97|1|585861.61|322343.68|579590.135
55228|566|33|1|348755.75|585273.73|366303.555
13694|1339|50|1|790334.18|607873.24|732291.36
32172|1263|59|2|742006.84|73665.74|345308.015
78953|1511|55|3|378456.12|83163.92|247351.275
24977|211|28|2|118349.26|144451.75|538033.65
37340|1688|67|1|915869.85|520633.63|232959.14
59601|1786|42|2|343672.04|682890.77|482040.33
54385|1129|87|1|507359.91|807374.43|847868.87
68484|466|93|3|183790.24|662113.25|363677.19
30459|1680|55|3|486383.62|553405.2|545328.47
96965|148|71|1|97862.04|34218.66|71426.64
96407|649|52|2|903309.53|759953.35|314095.27
33144|1822|60|2|26236.89|46744.55|831328.31
44569|1110|87|1|990398.87|308835.71|322286.94
71734|74|97|1|33093.45|83285.2|371042.56
52233|1271|40|2|473605.36|574536.62|484345.63
39113|1018|70|2|393835.97|443451.36|510198.8
41044|124|49|1|739088.69|733443.71|910688.375
54041|1419|67|1|270840.82|527282.52|462444.795
31750|918|10|1|419625.47|434432.4|202389.405
14351|1517|48|1|746052.12|296757.81|296770.66
53851|1789|44|3|867475.47|352052.55|315068.29
15400|1184|27|1|6360.3|25331.26|666471.795
63654|1301|8|1|562069.65|811819.11|503753.48
21993|544|72|3|226274.03|854016.27|591400.535
26680|446|75|3|258140.45|170089.5|748600.915
4266|229|37|3|226106.18|732250.17|446938.6
91244|548|4|2|354466.65|340422.0|345518.385
16923|1735|77|1|402133.08|284908.2|529671.7
64867|1068|37|2|798614.46|153082.67|264188.45
39848|1705|49|2|986234.24|910979.56|490501.67
24973|1642|47|1|457038.79|472119.99|483264.88
73391|1788|46|3|458883.32|966165.7|816183.515
29932|1431|15|3|173304.32|186418.78|484705.175
88998|419|50|1|458997.34|202309.97|454002.605
1678|1756|42|3|464316.7|417223.94|376994.335
71341|918|34|2|336751.18|829479.19|433949.535
51823|937|6|1|84631.65|997056.45|478173.02
89420|247|92|3|669027.89|405777.91|376038.015
27124|1733|61|3|187660.57|522631.44|626178.47
39590|1073|69|3|228144.71|836952.92|587421.31
27171|500|87|1|328949.62|617086.08|522753.36
17447|353|1|2|553184.46|124532.64|276147.55
69076|227|49|1|791884.24|557162.56|646686.8
18949|17|14|2|606469.61|103516.67|704846.56
11993|1535|85|1|610515.46|869153.46|522135.285
64694|562|56|2|668863.25|473902.49|459848.205
21690|635|33|1|509781.91|340085.17|818880.035
28320|1109|53|1|158588.39|343109.5|940115.245
75058|64|52|3|981386.48|710953.77|782778.81
97885|54|49|2|327631.97|904764.45|369155.345
89546|1766|92|2|166467.19|187959.1|474273.56
19375|1270|94|3|536726.6|270252.25|859642.875
89110|795|97|1|512997.19|621490.64|595888.755
96528|1119|15|1|350680.1|926349.4|478409.715
32055|968|43|1|109994.27|387332.7|812045.005
31755|345|77|1|780231.84|255509.1|202849.95
3305|1303|7|3|791821.14|891731.91|650415.185
79347|1068|90|3|965566.2|279165.19|433047.515
44107|249|8|3|655790.42|711157.08|333196.095
14242|1447|31|3|763790.48|72781.3|372292.115
49437|1207|14|3|348699.14|812892.1|417651.61
89041|315|63|2|449916.27|941437.86|252907.485
74738|1119|49|1|820289.32|679614.83|558940.735
92577|375|45|2|855154.63|169319.15|542385.605
61658|1693|47|3|536123.01|28332.93|449084.125
38061|880|41|1|529525.82|560966.15|315030.41
19536|215|64|3|85673.37|294418.2|211987.37
45037|1078|9|3|448338.04|517839.72|485282.9
22951|1701|60|2|624008.1|860024.2|482692.66
83240|1642|83|3|860637.74|381783.24|415557.37
73873|470|50|3|611965.69|492497.95|790115.14
66866|1475|92|3|81858.54|862176.56|234168.635
85683|741|73|3|156282.18|670656.47|436362.415
88701|1600|98|1|339246.92|727494.81|910574.475
72236|1319|4|2|822595.13|778199.47|708537.9
24428|1753|53|1|332340.13|991345.29|376097.985
87770|919|49|2|82522.7|667112.19|543353.33
19259|289|55|3|192140.24|913272.33|572335.3
80335|1730|77|1|779833.44|908735.26|692086.43
27633|1138|75|3|502612.09|539069.34|179132.635
26045|162|71|3|619935.97|209131.48|529726.56
9210|754|34|1|854902.2|333258.28|341351.805
85512|628|75|2|105334.4|228266.27|704769.78
6430|1740|92|3|728057.56|604936.54|764281.495
27561|872|80|1|205106.81|731642.56|736554.79
53355|57|82|2|257911.13|658498.03|380904.08
58765|1097|12|1|830272.69|280288.28|459426.92
37861|268|29|1|434256.42|828800.58|846132.995
94730|653|29|1|386163.04|95853.17|855483.175
78213|188|45|1|250860.77|96470.54|388540.125
57281|1234|70|2|907144.77|617626.01|797385.33
94968|133|49|1|616205.99|182460.19|678785.53
50675|1807|45|1|903760.87|599884.29|127538.435
56897|1450|16|1|997354.06|171134.45|430245.86
2320|1197|55|1|696052.82|239512.88|289849.56
76227|865|79|1|769815.38|150814.72|551710.63
36659|584|87|1|398100.71|494541.75|334145.635
25481|420|53|2|327450.33|976208.29|493374.675
61501|1574|34|1|901807.48|131659.57|807352.745
33038|130|6|2|150277.09|607786.28|452028.075
4935|1058|78|1|370804.76|885139.35|311028.915
50667|1765|91|1|630712.53|124490.57|297113.63
28038|918|25|3|323858.09|942913.89|491585.9
13282|1819|100|2|712990.26|562295.37|516534.52
67259|1736|2|1|196369.51|551238.94|643475.005
2286|644|92|2|691152.07|71087.88|445017.315
37589|171|70|1|137029.35|746529.33|335350.55
7612|1531|29|1|972390.07|274674.58|778871.765
15041|1801|56|1|987448.12|596308.72|735017.26
95371|797|60|2|932317.9|360959.31|491226.4
14867|1741|44|2|878151.89|242947.9|566034.565
15559|1396|63|3|401476.68|816329.64|467254.385
25416|632|97|1|904308.14|481873.65|781730.85
13005|1177|37|2|900432.18|859143.88|206286.905
90637|335|32|2|23820.79|595318.22|339675.235
39600|156|62|2|436252.83|11686.89|672372.48
69935|1298|80|1|725627.66|667756.83|937713.465
67128|577|28|1|664056.7|543138.15|450475.21
54314|488|58|2|923648.98|502247.66|340026.8
57235|1710|79|2|302962.03|153918.32|231583.255
48468|309|85|2|747072.86|317247.6|341522.625
70831|1164|22|1|900310.45|132780.93|730291.945
55273|666|93|2|804064.1|947927.0|780853.19
75661|123|38|2|664885.88|373772.64|650450.09
73149|1257|45|2|47544.28|138794.19|879240.215
47459|1264|76|1|97718.78|900920.11|361954.33
12750|1279|54|2|147394.35|586727.02|564644.48
74417|1456|13|3|276709.08|684604.71|388881.805
49115|1189|68|3|102028.07|519888.39|304102.795
94951|805|28|1|149202.69|508296.29|460912.24
23429|226|97|1|297387.05|350372.58|605549.845
33709|1653|67|2|829092.34|939046.57|623692.035
47408|856|10|1|675787.9|736232.93|785052.91
91868|1167|35|3|764699.2|225837.68|812004.01
75677|1664|20|2|919777.85|62997.21|332404.155
54109|121|42|1|684450.02|581947.72|654620.81
81688|5|38|3|687387.54|189668.89|502435.17
55740|1778|7|1|824392.88|692351.45|115157.39
87342|1600|60|3|683405.18|294751.17|620902.615
6822|1755|64|1|99838.11|731107.58|835414.09
96667|884|86|1|118306.33|150708.27|538992.135
2069|531|99|3|905731.19|84190.98|458945.775
51777|1682|94|3|571483.55|471309.15|665295.455
93293|140|4|1|291105.08|219353.7|511737.615
8824|721|80|3|257181.85|807040.06|604280.625
70478|725|91|3|821304.35|200639.51|312270.495
76428|447|94|2|334337.61|549155.74|131655.96
83541|1562|26|1|482500.65|862854.05|747321.805
48321|271|81|3|981807.79|897488.26|376675.43
9110|280|78|3|320720.59|787080.03|418214.07
19275|845|73|3|104729.68|765529.31|916801.35
9595|338|62|1|103597.11|71417.15|497195.455
16029|229|33|1|722557.06|20098.25|265158.845
69055|54|95|3|269048.02|103529.74|501802.57
88296|404|55|3|397253.56|926562.24|376365.09
93227|304|91|2|756685.76|402191.95|553504.875
50450|1115|38|2|34901.27|772710.48|552040.18
