investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
31923|1359|2|15|38|3|416693.3|9352.22
76426|637|5|75|13|1|8001.83|12697.17
23954|1195|5|2|44|2|926698.54|-744.15
36970|677|4|27|17|2|28767.02|6101.85
25236|917|5|89|47|1|495318.58|4806.04
7340|521|5|5|20|1|164394.78|8263.08
70289|624|2|31|29|1|449806.87|8720.87
38754|887|4|20|9|1|58829.02|13649.14
33819|174|2|61|45|1|747612.93|-736.32
30465|1448|4|39|35|1|727047.53|11117.1
72636|31|3|16|29|3|307000.92|4050.36
70923|526|5|60|37|1|558456.57|2787.34
7098|1619|5|77|11|2|155417.33|-2714.64
79173|12|2|75|32|3|24648.18|13010.42
41086|1092|2|37|32|3|241801.16|8345.1
37277|1020|2|66|45|2|226229.64|1866.22
79131|1410|1|42|20|3|672375.21|13736.91
29721|1773|2|11|8|1|23640.65|11356.81
50367|1602|5|62|11|1|791060.67|1668.61
9820|470|5|73|21|3|548320.87|9925.81
79883|754|4|4|43|2|892418.43|8772.02
69525|581|4|46|9|2|133070.48|10650.42
18119|1757|2|39|17|1|431416.31|-3452.77
42761|1036|2|54|39|2|619175.18|1521.13
38830|1644|3|66|29|2|905742.95|-1188.54
50564|654|1|30|4|1|792933.77|2333.92
1212|1762|5|84|14|1|410138.36|-2207.86
61680|814|5|30|39|2|536859.51|4710.95
40466|273|2|38|46|3|707348.14|2975.62
3144|582|4|25|40|2|181083.6|14574.57
82001|1826|5|18|21|1|752848.12|11845.9
96892|88|1|16|39|1|309886.89|13057.66
25413|536|1|43|36|2|5387.32|7440.68
1951|1492|3|26|45|1|414664.32|-3984.24
9918|864|3|56|20|2|2824.0|-4962.67
32657|296|5|70|8|1|581175.88|14509.52
53192|1325|5|49|46|3|687804.78|388.09
56785|899|2|22|24|3|904146.87|11370.79
2718|67|3|94|28|2|955202.29|-32.73
47302|102|1|45|47|3|862010.73|7420.48
36565|332|1|39|8|2|374106.2|13176.55
