loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
91610|687|24|19|33|2|121368.29|Pending
90722|31|5|16|37|3|390846.03|Rejected
62519|1171|4|75|10|3|227806.96|Rejected
17666|1097|28|89|20|2|261025.29|Rejected
76362|196|23|18|27|1|125508.93|Pending
25429|52|25|12|41|1|245881.85|Approved
11037|1267|20|90|50|2|295868.74|Approved
45865|537|6|92|18|1|20958.17|Rejected
50814|791|16|48|43|2|100546.9|Rejected
77917|896|32|100|43|1|180291.64|Rejected
25563|843|37|25|4|2|221170.18|Approved
44737|1165|1|48|21|3|422522.86|Pending
34349|1642|6|3|32|2|103421.02|Approved
52579|102|39|7|26|3|405181.66|Approved
77119|1058|45|34|17|2|32193.59|Pending
80220|1354|18|97|19|3|42670.72|Pending
25796|872|8|59|49|1|170899.29|Rejected
40625|402|47|72|42|3|413896.68|Approved
5213|1316|44|64|18|1|336649.51|Pending
12694|1750|15|88|38|2|259154.44|Approved
29205|396|44|47|15|2|417749.75|Pending
42907|1023|46|22|43|3|108574.32|Rejected
85751|1302|13|50|34|3|498970.92|Approved
38129|404|27|67|39|1|405848.64|Approved
71152|1515|44|7|8|2|425894.46|Rejected
31114|1713|11|81|14|3|112737.59|Approved
29246|1570|37|43|45|2|454883.52|Approved
81692|1744|44|73|39|2|186964.34|Rejected
78937|1173|18|53|40|3|328864.01|Pending
68936|223|44|70|16|3|475210.64|Rejected
26945|771|48|90|27|3|377576.53|Rejected
39343|727|15|89|49|3|413059.59|Pending
74602|1020|31|51|2|3|191079.75|Approved
85516|964|38|61|3|1|311804.67|Pending
60848|1005|28|28|12|1|164099.08|Rejected
17664|654|4|1|36|2|173427.36|Approved
71723|74|25|31|20|3|373597.72|Pending
30751|1346|47|52|29|2|474090.82|Rejected
57374|1050|23|63|29|2|118727.14|Rejected
2804|1252|17|3|8|2|479267.57|Approved
2557|1225|18|83|2|1|472655.66|Rejected
87398|65|4|37|9|3|363349.31|Pending
32151|1127|20|15|33|2|106886.69|Approved
57888|748|48|25|5|1|190751.27|Rejected
36961|140|23|69|21|1|343478.89|Rejected
49651|69|44|91|26|3|135645.67|Pending
26446|1626|6|78|2|3|11864.85|Pending
52740|40|38|95|31|3|66335.0|Pending
80187|517|26|34|33|1|108737.0|Approved
44183|552|41|78|9|3|266620.96|Approved
88649|851|44|52|36|3|234632.83|Approved
35247|1039|4|86|14|3|106973.75|Pending
95947|1402|10|21|15|3|47107.15|Pending
17979|71|32|82|44|2|333641.32|Approved
41241|675|16|7|8|3|352450.3|Rejected
21763|1512|21|8|6|3|47780.93|Pending
77217|572|48|6|46|2|361935.65|Pending
81083|614|12|56|13|2|91796.36|Rejected
18365|1197|9|35|41|3|65709.29|Pending
79287|71|31|15|48|3|400290.42|Rejected
42916|1273|34|31|48|1|371173.6|Approved
36910|1663|34|43|2|3|451026.11|Approved
66523|279|49|60|7|3|436612.85|Pending
13313|1132|49|62|22|1|443180.69|Approved
29032|934|36|100|29|2|154194.53|Approved
19425|1359|36|97|17|1|132033.92|Approved
57068|777|10|99|13|1|472309.59|Pending
33542|1164|4|59|20|2|307054.82|Rejected
9146|1025|6|96|21|2|183203.81|Rejected
54071|287|27|100|41|1|255385.69|Pending
72138|1350|47|65|20|1|459161.17|Rejected
3220|1365|21|41|24|1|381061.15|Approved
270|1235|9|65|46|1|444313.04|Rejected
79382|1066|20|58|20|3|489168.9|Rejected
71441|160|16|5|46|2|407689.66|Pending
12376|1177|16|50|24|1|300909.29|Pending
65687|1376|33|70|37|3|168545.66|Pending
67663|1641|37|82|17|3|15295.15|Approved
45458|1222|41|48|10|2|92995.12|Approved
22380|209|32|9|16|2|457296.09|Rejected
89123|1528|36|50|46|1|491557.32|Rejected
8347|844|25|16|19|2|357988.96|Pending
19805|1298|17|50|47|1|263368.98|Rejected
82510|1113|22|36|16|1|316072.38|Pending
65518|269|21|99|36|2|64267.09|Pending
5746|1437|11|23|30|3|66738.8|Approved
75728|1228|22|68|1|1|304306.27|Approved
55081|87|18|86|33|1|81912.12|Pending
99876|365|19|86|20|2|373812.08|Rejected
95304|264|26|46|40|3|299363.05|Pending
91458|1373|9|38|19|1|73554.85|Pending
50681|1190|9|72|5|1|293054.13|Approved
34121|1776|17|29|4|2|446382.22|Rejected
2786|1679|45|44|48|1|251553.38|Pending
33512|254|31|38|10|1|27735.88|Pending
52428|724|34|69|31|2|312152.0|Pending
57908|953|20|50|29|1|5069.35|Rejected
63046|985|40|77|40|1|229516.34|Pending
64269|249|38|68|8|2|435335.15|Approved
91047|971|46|11|6|1|221249.85|Pending
35569|1536|38|58|41|2|106496.99|Rejected
89956|1618|19|41|27|2|91061.76|Rejected
99431|1171|38|48|3|3|248221.86|Rejected
94925|998|18|2|19|1|443640.11|Pending
90293|898|25|36|1|2|22072.36|Rejected
65419|1427|49|98|16|3|102774.38|Rejected
87993|1683|42|90|20|3|193371.95|Approved
16622|709|7|7|16|1|431626.31|Approved
19047|540|37|28|23|1|408103.38|Rejected
67953|926|6|43|13|1|31337.09|Pending
16813|1073|18|30|24|2|389091.25|Pending
630|1280|26|22|33|3|442858.18|Approved
17494|46|45|21|15|2|452978.31|Pending
9895|279|13|54|35|1|306404.16|Rejected
59751|1802|31|74|41|1|484875.05|Approved
27317|82|17|5|42|1|113152.58|Rejected
887|1814|49|12|9|2|382349.43|Pending
74124|1707|16|53|27|1|338022.61|Approved
50244|395|5|40|10|1|274123.23|Pending
12057|851|9|20|37|3|110607.92|Pending
72878|629|21|39|29|2|250533.02|Approved
1813|324|5|12|37|2|110539.76|Approved
35789|1071|28|19|30|1|471598.85|Approved
86837|857|25|97|1|1|342336.15|Approved
29434|1639|47|90|30|2|406943.59|Rejected
88207|1166|2|58|38|1|495505.09|Rejected
56519|1050|22|21|23|1|279587.39|Approved
22849|1554|9|22|46|1|468460.08|Approved
7616|1327|24|99|46|2|382930.13|Approved
607|682|38|82|50|3|491921.64|Rejected
4672|1160|47|37|10|1|148284.66|Rejected
58771|1671|13|95|44|3|187557.4|Pending
95864|285|6|79|36|2|93232.34|Approved
34287|1280|1|29|6|1|294313.81|Approved
86939|207|20|13|16|1|301536.78|Pending
42266|1812|30|34|26|1|385655.23|Rejected
13244|134|29|13|30|2|400439.58|Approved
28741|228|39|86|35|3|253560.58|Rejected
31285|1723|24|13|31|3|27176.03|Approved
27043|1226|4|84|37|1|415821.59|Pending
16067|375|15|90|39|1|463038.43|Approved
58099|1658|11|32|9|2|21027.4|Pending
19852|1134|38|84|14|3|136492.44|Approved
88312|1200|32|80|39|3|117282.8|Rejected
81553|800|44|90|25|1|411055.9|Approved
3827|406|14|85|21|2|289711.5|Pending
1570|927|11|70|39|2|429391.88|Rejected
63789|1571|47|60|4|1|369938.08|Rejected
11246|1044|43|7|2|2|74786.1|Approved
65642|55|29|44|20|2|145584.95|Pending
73804|1124|15|97|44|1|312687.28|Approved
53|1340|26|18|35|2|196331.98|Pending
35962|957|12|93|40|2|372252.88|Pending
35292|748|12|24|14|2|108705.03|Pending
81891|1427|37|37|21|3|341303.23|Pending
1767|186|7|100|43|2|469795.36|Pending
77446|138|27|25|34|3|12834.98|Approved
2440|954|24|56|48|2|165003.44|Pending
17319|1715|46|23|40|2|341889.06|Approved
9188|457|37|41|24|3|493501.69|Approved
80859|1298|2|83|39|3|104525.8|Rejected
89316|1699|13|64|24|2|116979.41|Approved
28715|1573|5|78|20|2|243668.15|Approved
73770|1154|20|79|29|3|334206.49|Rejected
7564|557|46|13|10|2|191491.36|Approved
91340|267|26|42|38|1|446529.83|Approved
29690|222|23|51|30|3|416314.99|Approved
38644|343|11|23|44|1|304251.11|Approved
36409|412|16|89|34|1|120911.27|Rejected
14934|1214|38|35|25|1|258716.48|Approved
4670|617|27|87|32|2|382693.65|Rejected
23614|1632|38|33|46|3|196996.41|Rejected
1796|423|5|31|27|3|253185.5|Rejected
90758|190|12|96|35|1|362465.55|Rejected
50293|644|12|15|17|3|373183.1|Rejected
53747|579|43|27|33|3|106238.03|Approved
91958|1209|12|86|41|3|186130.91|Approved
41038|249|2|94|9|1|21468.61|Approved
85408|1810|1|20|17|1|328817.4|Approved
57520|1152|8|67|40|3|35633.38|Rejected
56496|64|45|44|33|1|194097.86|Pending
50529|673|37|1|7|3|146558.45|Rejected
39162|993|33|17|32|2|485011.52|Pending
58122|933|12|22|39|1|155184.54|Approved
35613|1767|25|12|41|2|298661.16|Rejected
86046|1529|5|4|8|2|329867.87|Approved
31997|1364|37|52|29|2|499955.82|Rejected
99757|534|35|89|17|1|114340.38|Approved
61600|997|34|3|45|1|449332.0|Approved
12624|822|32|23|38|1|396463.96|Rejected
95565|939|26|13|14|1|287233.92|Pending
67905|1156|50|18|7|3|60899.84|Rejected
73818|1479|9|8|46|1|83419.78|Approved
61491|535|41|39|31|2|498359.07|Rejected
1426|697|39|5|41|2|437725.38|Approved
7856|1228|49|34|38|1|376835.16|Pending
99567|1341|39|99|11|1|456278.38|Approved
33046|231|14|30|46|1|259484.95|Rejected
45684|1378|48|75|41|2|356923.4|Approved
46018|1445|23|57|6|1|389726.86|Pending
42758|808|26|13|39|2|324372.5|Rejected
19948|1087|16|57|12|3|402153.95|Approved
62367|803|3|68|25|1|226630.21|Approved
14827|244|27|62|18|2|403126.47|Rejected
73451|182|14|11|49|1|199345.86|Approved
90787|1494|42|52|20|1|466080.72|Pending
3769|557|6|97|34|2|301253.44|Approved
9042|290|37|23|18|1|489728.02|Approved
67564|1551|46|61|38|2|9572.0|Approved
62233|1682|11|75|50|2|410702.57|Approved
68659|1018|13|60|45|2|374699.77|Rejected
34846|472|3|98|45|3|486270.63|Pending
39090|1287|43|47|19|3|89462.52|Approved
42402|919|48|41|31|3|453668.92|Approved
63123|1237|10|95|33|2|200637.75|Approved
49589|1733|42|48|45|3|97287.69|Approved
4364|1314|6|47|40|3|390438.03|Approved
62199|391|41|95|11|2|466001.11|Approved
15842|736|19|94|7|3|463374.88|Approved
21111|635|38|51|11|3|158375.57|Approved
18132|232|27|91|37|1|434204.44|Pending
16454|192|6|44|2|3|493474.59|Approved
12926|199|13|21|37|2|102886.56|Rejected
37650|190|47|40|42|3|158259.17|Pending
59077|1258|29|59|35|3|482862.78|Approved
81908|987|35|19|9|2|423062.45|Pending
78207|694|3|73|1|3|85848.39|Pending
55422|534|11|12|9|3|369423.19|Rejected
6199|1373|11|74|9|3|440752.58|Approved
71245|1358|48|82|43|3|196668.72|Pending
37074|205|7|69|24|2|51676.75|Pending
81355|881|16|97|25|3|82161.77|Pending
76037|1281|45|46|14|2|324579.08|Approved
31970|1537|43|31|5|2|396952.25|Rejected
57770|1407|44|58|15|1|111223.19|Pending
48621|680|24|1|37|3|435505.5|Approved
32940|1423|42|38|40|2|338972.31|Approved
54255|694|33|94|21|1|364702.74|Rejected
44818|415|28|8|8|2|263877.68|Approved
42220|1782|47|37|36|2|415314.31|Pending
43469|1334|44|57|13|1|95098.72|Pending
41110|1766|2|54|21|2|238391.74|Approved
80638|937|47|76|30|3|447385.98|Rejected
16040|889|20|39|40|3|479612.26|Approved
93230|1588|34|36|47|3|250856.64|Approved
9925|1628|45|40|25|2|53573.97|Rejected
74718|1109|47|53|43|3|203954.69|Pending
13572|1338|14|45|19|3|472140.02|Rejected
12751|173|5|29|35|2|408299.78|Rejected
73769|1677|40|13|46|2|456827.32|Approved
12072|536|35|10|50|2|159182.54|Rejected
1941|549|9|46|5|3|60837.99|Approved
95932|1421|18|34|21|2|400419.52|Approved
43607|1543|30|1|8|3|208593.16|Pending
88924|460|13|17|9|3|279598.41|Rejected
69543|1144|40|49|4|1|88942.5|Approved
19571|869|10|93|23|2|91204.51|Rejected
75892|937|7|68|41|2|314620.43|Rejected
14754|512|33|75|10|1|46995.45|Rejected
3909|1148|23|67|47|1|50293.79|Approved
43380|1126|2|53|46|2|69798.98|Rejected
69023|832|10|8|16|2|105596.67|Pending
93560|1066|26|8|44|3|155088.0|Pending
47249|944|11|82|33|1|257110.96|Approved
35566|1199|29|21|42|2|236935.93|Approved
86881|1229|24|2|16|3|248735.0|Rejected
79271|1679|49|65|18|3|81961.66|Rejected
76440|297|25|95|40|2|216170.45|Rejected
12757|385|22|41|41|2|151941.76|Pending
49414|1813|16|50|11|1|122980.02|Rejected
31159|1408|13|28|32|1|374903.07|Rejected
44134|947|18|24|13|3|209300.12|Rejected
62401|499|6|92|50|2|233287.66|Rejected
11220|1110|49|33|5|2|57273.79|Rejected
71752|49|50|1|41|1|175057.04|Pending
93966|1496|28|100|15|1|396115.22|Approved
3268|1185|29|25|38|3|452454.45|Pending
43467|655|33|8|12|3|186245.93|Rejected
66677|1014|4|44|19|1|255834.67|Pending
94556|1204|50|48|17|3|302873.1|Approved
89310|514|22|19|17|1|32466.25|Pending
7996|1418|28|57|21|1|8063.88|Rejected
70705|1752|32|49|36|2|443837.64|Approved
18845|1621|32|92|22|1|70007.28|Pending
63519|587|42|16|23|1|62538.13|Pending
58946|837|47|99|27|2|331832.63|Pending
76464|231|2|64|1|1|222400.39|Approved
65525|1443|30|52|44|3|220563.47|Rejected
46001|1521|47|75|48|3|202360.33|Rejected
26722|1600|42|46|26|3|414642.03|Rejected
63308|394|12|49|21|1|66186.43|Approved
96479|1347|8|69|32|3|204226.18|Approved
59761|490|46|5|13|3|121310.04|Approved
72433|179|37|38|9|2|434778.51|Approved
15432|833|50|47|39|1|52592.03|Approved
49888|407|41|57|5|3|44657.34|Pending
19430|1450|18|41|23|3|226375.99|Approved
74448|1594|45|29|18|2|277284.7|Pending
31628|726|23|6|6|1|453373.98|Approved
20675|1093|5|14|39|3|311316.45|Rejected
56783|1076|12|16|41|1|392737.99|Pending
40631|628|40|68|39|3|274232.71|Pending
73477|1344|28|64|23|3|441367.76|Approved
70101|1686|22|7|9|2|367144.02|Approved
96726|692|50|56|43|2|381507.21|Pending
58725|984|6|5|45|3|184064.5|Pending
56222|267|22|100|8|1|136411.63|Pending
19978|314|6|46|39|1|287989.79|Rejected
48671|666|12|76|41|3|267507.33|Rejected
26700|1123|12|70|48|1|131887.06|Rejected
17526|2|17|7|27|2|301751.22|Pending
71814|517|4|88|44|1|322231.65|Pending
77381|535|7|53|44|1|143290.55|Approved
