transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
79318|574|3|75|5|49|2|794.56|Pending
88702|338|3|14|5|48|2|232.9|Pending
80341|1683|4|12|1|29|1|7496.34|Pending
95555|1270|4|68|2|29|3|2702.0|Pending
52130|1154|1|35|2|11|1|129.54|Completed
69420|201|1|33|2|10|2|3724.63|Completed
357|747|2|51|5|35|1|4421.44|Failed
31196|1599|4|1|4|48|3|516.43|Failed
95364|58|1|93|3|44|1|6991.33|Completed
49063|1480|4|22|1|10|2|5410.45|Completed
97449|29|1|30|4|18|3|3363.23|Failed
29272|130|2|15|5|21|1|4065.39|Pending
79807|1179|2|27|1|46|2|1036.75|Completed
59081|1318|1|60|1|5|1|3129.96|Pending
26364|1475|4|21|2|1|3|6455.54|Failed
20244|1506|3|56|3|14|2|8896.38|Pending
3942|40|1|76|4|13|2|6152.86|Completed
74253|288|4|11|2|18|2|1816.56|Completed
22723|97|4|43|1|17|2|8741.96|Completed
29517|1001|4|23|2|35|3|6744.66|Pending
41292|995|1|26|4|6|3|1385.14|Completed
48876|535|1|91|1|50|2|9866.31|Completed
22636|54|2|2|4|22|1|6456.47|Failed
16037|150|1|34|2|22|1|3000.58|Pending
60988|784|2|71|3|41|1|4143.01|Pending
74832|72|3|64|2|39|1|5487.25|Failed
51023|968|1|42|3|19|3|4334.8|Pending
40112|1578|2|41|1|24|2|9138.38|Pending
35610|961|4|49|1|13|1|9305.27|Failed
77180|289|3|73|1|22|1|2924.15|Failed
94697|1627|2|12|4|49|1|8793.24|Failed
17037|921|3|55|1|40|1|6234.81|Pending
78285|1105|1|26|2|36|2|5973.98|Failed
76530|1281|2|72|2|17|3|2673.39|Pending
64389|1570|1|2|3|12|1|176.15|Pending
14670|901|2|60|5|35|3|8152.24|Completed
30357|619|2|51|4|5|2|8091.9|Pending
93795|101|2|67|2|24|2|3539.36|Completed
98565|1708|1|89|5|38|3|9516.55|Failed
11517|1685|2|63|1|50|1|3753.87|Completed
28776|1236|2|13|3|41|1|7280.83|Failed
54931|832|3|45|2|25|1|8292.78|Failed
29035|1405|1|32|1|18|2|1143.31|Completed
92440|355|2|97|2|45|1|8349.97|Pending
84188|550|3|12|1|10|2|1417.75|Completed
61605|1654|4|2|4|47|2|1916.7|Completed
63499|1049|1|65|2|21|3|9519.31|Pending
91621|273|4|68|3|14|1|1176.51|Pending
72613|1298|4|66|1|10|3|6897.14|Failed
25128|625|2|100|5|45|1|7778.01|Completed
56087|1337|4|42|2|40|1|9090.79|Failed
63508|1742|3|98|2|48|3|1380.01|Failed
11267|895|1|23|4|30|2|671.84|Failed
79219|62|1|94|1|30|1|8117.94|Failed
16340|1421|4|77|2|6|3|4873.06|Failed
33423|1006|1|46|2|29|3|4862.26|Failed
36274|1435|3|16|4|3|3|5268.12|Pending
81820|1103|2|34|3|25|2|2351.78|Failed
59613|1791|4|63|4|33|3|4892.64|Completed
8046|1307|4|53|4|12|2|8794.36|Pending
46685|508|4|91|1|48|2|3304.18|Pending
32341|1415|1|68|1|42|1|9027.86|Failed
78755|1230|3|7|3|21|1|1023.68|Completed
97129|633|1|31|4|14|1|129.95|Completed
29912|244|3|91|4|41|1|1620.07|Completed
86568|417|3|29|4|43|1|4729.88|Completed
70052|1056|3|83|5|39|3|8910.67|Completed
40482|508|4|36|5|31|1|3720.39|Pending
34373|1442|1|37|3|17|1|2428.79|Completed
44655|637|4|65|2|9|2|3180.63|Completed
58781|1239|2|62|3|25|2|9817.65|Pending
74014|605|4|19|2|35|1|6473.9|Pending
77301|73|3|77|1|3|2|3890.52|Failed
46821|1327|4|92|4|38|2|3263.56|Failed
52344|40|3|12|2|7|3|8505.37|Completed
81780|146|4|52|1|39|2|1653.49|Completed
97831|1014|2|5|4|43|1|264.83|Pending
74092|222|4|78|1|25|3|2476.28|Failed
96314|1745|3|32|2|13|3|5540.02|Failed
44227|772|1|69|5|37|3|4430.37|Completed
92503|1308|2|48|3|27|1|9050.18|Failed
87726|129|2|13|3|35|1|4708.29|Failed
17194|942|1|64|2|41|1|3946.45|Pending
12287|665|2|23|4|7|1|6650.24|Failed
19623|80|2|93|3|5|3|8652.52|Pending
12947|1586|2|88|2|31|1|160.37|Completed
22283|1757|3|41|2|18|1|1203.9|Pending
66876|177|4|23|2|15|2|1246.31|Pending
26086|377|2|14|2|19|1|633.3|Completed
245|352|4|59|4|43|2|3259.15|Pending
71084|1339|4|5|1|39|3|4503.55|Failed
61227|730|4|72|3|28|2|7017.51|Pending
47605|765|3|51|2|50|2|8519.38|Failed
99790|1054|4|30|2|41|2|5226.24|Failed
2628|221|2|99|3|27|2|6439.34|Pending
80437|1341|4|32|5|23|3|3614.9|Completed
39079|1729|4|36|3|39|1|412.96|Failed
30448|1386|3|99|3|39|3|7799.76|Failed
83697|825|3|79|5|27|2|5977.95|Pending
34484|1308|1|63|5|21|1|2649.31|Failed
18381|79|2|9|1|20|2|5352.3|Pending
79702|1504|2|14|4|46|3|6011.04|Pending
41915|1179|4|26|5|43|3|4329.86|Pending
95610|1501|2|93|5|31|3|2279.31|Pending
32025|1766|4|70|5|18|1|2389.79|Completed
99586|229|4|24|3|28|1|5834.29|Completed
55409|493|4|68|2|6|2|9484.83|Pending
14053|1091|2|13|4|25|2|7971.01|Failed
57459|559|4|90|2|30|2|3504.57|Completed
37770|303|3|51|4|38|1|5615.61|Pending
28659|1415|1|100|1|50|1|1638.98|Pending
68138|1249|1|38|5|43|1|3242.47|Pending
90289|1178|1|59|3|48|2|3286.76|Pending
52175|1199|2|18|3|14|1|4562.63|Failed
18657|451|3|9|3|37|2|9547.59|Pending
57875|646|2|68|5|42|3|3876.57|Pending
77938|1000|1|40|1|35|3|9987.33|Failed
84921|1093|1|21|2|8|2|7586.37|Completed
85396|1240|2|19|3|22|1|6643.73|Failed
77597|1303|4|45|1|27|1|6294.43|Completed
92940|1593|4|22|2|11|3|7366.69|Completed
76807|828|1|29|5|31|2|9292.71|Failed
16405|1358|4|33|3|18|1|1165.35|Pending
86079|1472|3|99|1|28|2|9962.34|Completed
14534|1687|1|35|2|14|1|3708.76|Pending
87762|53|3|59|2|32|2|689.15|Pending
65048|46|3|48|1|46|3|3018.28|Pending
33632|1252|4|85|4|31|3|6395.04|Completed
42846|1662|3|36|5|17|3|3162.97|Pending
2895|380|3|16|2|21|1|2598.64|Completed
3511|1412|4|49|5|16|1|1943.33|Completed
37679|25|1|77|2|5|2|5152.96|Completed
40191|327|3|17|3|2|1|132.91|Pending
56486|357|2|90|1|46|1|473.42|Pending
83500|1057|4|17|5|32|1|4173.73|Pending
89980|1478|1|34|1|11|3|6636.42|Pending
53559|25|2|57|2|32|3|5054.56|Pending
8059|820|4|83|3|7|3|7033.42|Failed
97323|1496|3|80|5|27|2|844.04|Failed
99859|1328|3|96|3|8|1|534.12|Completed
71187|1786|1|17|4|19|1|8068.56|Completed
73777|1347|3|66|4|18|2|7896.08|Failed
13887|1374|2|11|3|45|3|1075.68|Pending
22651|1089|3|91|2|37|3|4869.91|Pending
77527|1120|4|75|1|45|3|4143.49|Pending
87632|922|1|91|2|3|2|6284.52|Completed
64181|957|3|57|1|27|3|2647.15|Failed
45919|486|2|66|5|29|3|4248.7|Failed
97582|1175|1|46|3|47|3|6624.61|Pending
26715|1451|1|23|5|12|1|1357.4|Completed
17080|1580|3|8|5|47|2|2369.41|Pending
55612|1729|3|18|3|7|1|8861.15|Failed
68273|740|4|79|3|10|2|7575.53|Completed
20343|460|1|12|1|15|1|4543.83|Pending
48558|943|3|27|1|50|1|313.79|Completed
59267|1339|1|99|1|44|1|2679.89|Completed
52006|1244|2|97|4|22|2|1655.76|Failed
66675|1290|4|11|5|41|2|4527.06|Pending
28382|448|4|49|4|23|1|9511.92|Completed
68132|786|3|51|5|30|2|7120.85|Pending
31679|1068|3|11|1|7|3|1356.31|Pending
25175|1755|3|86|1|19|3|9213.54|Failed
25037|1073|2|10|5|2|1|3705.14|Failed
43065|764|3|15|2|24|2|4298.38|Failed
76011|1193|3|32|1|14|3|3606.06|Pending
41324|39|2|28|2|12|1|6102.24|Completed
23592|799|3|79|3|40|3|8818.05|Failed
82412|177|1|49|2|32|2|6109.81|Failed
49295|1226|3|37|3|24|1|5521.47|Completed
76733|1665|2|33|3|7|1|1938.3|Pending
55841|1049|2|53|3|25|1|9923.78|Failed
51061|211|1|4|5|43|2|417.36|Failed
18458|128|4|5|2|46|1|2655.18|Pending
82738|1699|2|62|1|3|3|99.25|Completed
62984|1387|2|8|1|32|1|8900.5|Completed
64360|127|1|10|5|35|3|9152.34|Pending
99166|1459|3|86|1|3|3|7027.38|Failed
42604|183|4|19|3|9|2|7482.23|Failed
47206|310|4|87|2|32|3|2218.64|Completed
113|171|1|48|2|31|2|3383.84|Failed
7669|763|1|40|2|6|3|7873.63|Pending
72666|1324|2|44|1|28|3|4621.91|Failed
6353|497|4|18|1|2|1|5040.04|Completed
86487|286|1|29|4|30|1|2374.23|Pending
10436|1325|4|35|5|43|3|7681.17|Pending
78239|1305|1|57|5|27|3|5907.69|Completed
64865|67|1|90|4|13|1|3118.74|Pending
24758|596|2|42|3|48|3|108.93|Pending
29632|510|1|95|3|1|2|4704.0|Failed
66598|565|1|68|4|29|1|4224.48|Pending
3958|788|3|84|3|29|2|4383.23|Pending
80322|174|1|79|3|5|1|6897.04|Completed
10522|30|1|15|3|24|1|9585.45|Completed
43923|1021|1|44|3|8|3|1803.04|Failed
67928|547|2|63|4|40|3|7159.54|Pending
98025|995|4|31|2|43|2|5252.96|Failed
62032|766|3|49|5|43|1|283.51|Failed
