location_id|city|state|country|postal_code
1|North Sabrinastad|Massachusetts|Estonia|20130
2|Port Steven|Arizona|Belarus|13746
3|South Jacqueline|Colorado|Benin|57716
4|South Stevenshire|Kentucky|Finland|98165
5|Port Kevinborough|West Virginia|Dominican Republic|96958
6|Stevensfort|Virginia|Martinique|60077
7|West Troyberg|Wyoming|Ecuador|55031
8|Lake Amyville|Ohio|Switzerland|38068
9|Evanborough|Wisconsin|Iraq|24985
10|Blankenshipbury|Alaska|Turkmenistan|50767
11|Jasonview|Virginia|Comoros|76672
12|New Hollybury|Montana|Tokelau|33629
13|Jessicaville|Maine|Fiji|78702
14|East Dustinbury|North Carolina|Liechtenstein|71610
15|Anthonyberg|Wyoming|Bahamas|71892
16|Justinton|Montana|Lao People's Democratic Republic|49721
17|Lake John|Indiana|Turks and Caicos Islands|47301
18|East Gary|New York|Botswana|45715
19|Judyton|Maryland|Madagascar|69086
20|North Stevenburgh|Delaware|Sudan|51853
21|North Daniel|Connecticut|Saint Barthelemy|10315
22|Lake Isabelview|Wyoming|United Kingdom|02124
23|Port Tina|Louisiana|Switzerland|14900
24|Lake Stacie|Florida|Tunisia|91257
25|Mosleyborough|North Carolina|Ethiopia|22776
26|Craigberg|Oklahoma|Mauritius|63446
27|Keithmouth|New York|Cape Verde|50834
28|West Jenny|Idaho|Mayotte|78090
29|South Jennifer|Maine|Solomon Islands|37054
30|North Andreaport|Florida|Greenland|68275
31|South Jeremyberg|Kansas|Trinidad and Tobago|89303
32|Lake Ashleyshire|Maine|Switzerland|94684
33|New Steve|Maine|Bolivia|40373
34|Amyton|Missouri|Guam|84659
35|South Jasonton|Connecticut|Palestinian Territory|56928
36|Portertown|New Jersey|Aruba|84542
37|New Brittanyfurt|Wyoming|Denmark|79119
38|Jennifershire|Connecticut|Barbados|28915
39|Port Ronald|Pennsylvania|American Samoa|62507
40|Melissaside|Arkansas|Gibraltar|16035
41|Lake Amy|Wisconsin|Hong Kong|44656
42|Christinehaven|Connecticut|Montserrat|65273
43|New Carlos|Connecticut|Rwanda|29108
44|West Justinmouth|Nebraska|Yemen|11247
45|West Lisa|Oregon|Wallis and Futuna|66851
46|Lanemouth|South Carolina|Colombia|33117
47|Lake Corey|Alabama|United States of America|38164
48|New Christinaburgh|New Jersey|Saint Pierre and Miquelon|87168
49|East Danielhaven|Rhode Island|United Arab Emirates|73524
50|Justinfurt|Idaho|Monaco|91766
