interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
39322|1521|3|4|50|In-Person|1
86957|1061|78|4|44|Call|4
7363|25|12|5|34|Chat|2
96653|1822|33|5|1|Email|4
86305|1296|94|5|41|Email|1
50625|1353|95|5|49|Email|1
34072|101|20|3|7|In-Person|1
12914|264|71|4|14|Call|4
95694|1482|26|1|5|Call|4
74798|1491|15|4|43|Chat|2
26292|1241|79|2|50|Call|1
9446|367|69|1|34|Call|4
1065|1250|53|2|40|Call|5
76284|1565|51|4|27|Chat|3
46557|358|10|3|19|Email|2
82107|1320|58|3|17|Chat|5
32201|1090|80|4|36|Email|1
74766|193|98|5|49|Email|3
37783|1014|65|3|46|Chat|4
53679|1616|58|3|42|Email|5
48437|1245|36|5|17|In-Person|2
44513|1821|49|4|22|Call|5
39678|720|45|3|40|Call|2
31722|978|24|2|46|Email|4
10275|1659|81|2|8|Email|4
66690|1683|74|2|37|In-Person|3
68220|348|5|4|13|Chat|4
41815|914|41|5|5|Email|5
17333|468|42|2|7|In-Person|3
91879|580|17|5|38|Call|3
21851|1071|89|3|34|In-Person|2
96733|30|99|3|38|Chat|4
44588|1757|99|3|22|Chat|4
26543|720|46|2|5|Email|2
87170|1321|57|4|49|In-Person|2
46471|1761|73|3|2|Chat|3
13637|1287|85|5|50|Email|4
3290|1204|35|3|29|In-Person|5
44736|1237|77|5|12|Call|2
23247|86|21|3|49|Call|4
60295|515|60|2|49|Chat|5
21554|1537|72|2|2|In-Person|1
85696|1446|93|3|39|Chat|1
50357|1741|54|4|21|Chat|4
66864|1523|69|1|20|Chat|1
91968|1159|44|2|18|Call|1
56560|1723|100|2|43|Email|4
92640|544|72|1|49|Chat|1
65335|1008|27|3|43|Chat|3
92037|1422|31|5|9|In-Person|4
75848|326|19|5|44|In-Person|4
88111|884|95|3|49|In-Person|3
44117|453|93|3|36|Call|2
38425|33|62|1|10|Chat|3
88461|248|46|3|15|Chat|2
91979|676|62|5|30|Chat|4
22621|443|52|4|31|Chat|2
95118|1470|37|2|15|In-Person|3
23108|590|66|1|47|Email|5
72145|1353|98|5|46|Chat|5
44801|1493|11|5|30|In-Person|3
9426|1016|67|1|22|Call|1
34594|444|84|3|15|Call|3
29882|272|51|1|19|Call|3
72078|935|9|4|33|Chat|1
99373|1457|92|4|48|Call|2
57290|451|26|2|48|In-Person|3
92786|1090|55|5|22|Chat|4
13500|1513|91|4|45|Chat|5
83411|1197|72|2|32|In-Person|2
53914|450|86|4|33|In-Person|3
98018|891|15|1|15|Chat|4
75467|1175|79|1|22|In-Person|3
84462|1103|60|5|36|Call|3
67958|274|29|3|10|In-Person|2
13391|1245|19|5|32|Call|2
15785|82|47|1|1|Email|1
