balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
93629|1648|21|1|184386.71|615083.36|755133.285
2473|747|77|2|207559.32|461211.07|695687.475
87352|600|91|2|946889.02|312513.91|44122.82
60101|758|36|3|269346.51|943525.77|567025.045
93217|135|71|3|693134.15|6956.75|391849.815
68632|1303|31|1|273530.01|362118.0|706773.215
29719|1244|51|1|263370.8|376978.9|520333.91
60720|1572|1|3|523174.38|817733.58|585141.915
20169|995|79|3|386495.5|990501.07|585245.03
14636|1737|73|1|319821.91|38971.27|678556.495
65853|1726|86|1|364657.44|895092.35|450261.025
31924|429|60|1|391837.78|639735.73|550254.92
59670|917|83|1|555946.96|979560.79|547327.97
93533|385|28|1|438925.46|519603.11|742114.1
2899|1593|62|2|474728.15|718542.75|682143.29
67336|1068|61|1|652504.19|48188.28|377387.275
14020|767|62|1|99255.87|484174.86|543128.965
621|842|48|3|530145.74|411704.45|213879.995
67139|384|63|2|893795.7|27836.22|536740.98
5543|1491|43|3|354773.02|285548.61|474679.945
6260|1707|99|2|764442.1|434670.73|478492.33
23180|1442|40|3|9070.85|778798.02|484657.96
66822|1275|26|1|4338.07|299796.03|334147.365
69219|1669|20|1|508072.8|657268.38|325134.615
68545|920|81|1|383529.88|810571.86|634625.635
20251|1742|68|3|163155.12|700097.69|457240.78
52508|650|2|3|491122.42|572106.49|668749.99
72539|414|46|2|733309.16|317009.26|384037.53
31470|609|57|2|383562.99|70609.0|342206.875
34314|1754|1|3|640932.46|159727.48|426474.66
53249|308|51|1|790755.75|415091.63|437475.165
45832|103|80|2|987440.6|930848.45|210732.455
76522|1387|17|2|94767.59|953720.0|378390.545
13858|997|5|3|555279.42|331333.41|222955.16
44351|1116|64|3|777204.92|953660.42|814609.365
73628|87|72|2|67521.29|589245.76|571768.48
68337|314|91|1|166348.25|899608.9|348979.625
40559|1620|57|3|366979.99|395583.66|387020.075
78209|1290|29|3|598439.15|827839.82|261979.82
24233|1045|67|2|154335.2|248399.45|679655.4
13375|1554|25|2|979614.63|34966.92|189013.47
52246|1402|65|2|618209.14|81151.72|841768.29
84708|427|92|1|242752.76|251442.69|341117.835
87099|950|7|1|524061.73|766908.46|282397.8
51460|397|97|3|156810.33|635820.78|765370.62
51609|992|98|2|927482.5|794313.28|472228.195
61083|1263|41|3|185549.21|943367.08|723292.37
33470|1076|99|1|738393.71|725114.92|473189.97
73961|24|13|1|665447.53|422601.51|530442.46
44714|1710|31|2|270987.68|731017.03|404561.02
94267|35|99|3|253049.19|5266.87|582689.74
30460|938|38|3|625048.3|392995.84|941999.495
67233|1689|63|1|759581.22|915669.18|917720.165
9089|1185|39|2|383088.63|546807.81|316010.44
30278|1428|67|3|701819.83|427772.33|422616.715
75668|1224|66|1|73781.7|525111.84|679359.79
48712|1053|53|2|478614.07|927223.83|508995.855
99931|179|74|1|915106.94|418400.89|456399.765
68338|920|56|2|739878.96|436575.13|469999.955
43074|162|38|2|995963.85|370974.7|583641.805
93323|206|78|2|320080.15|774317.44|81478.835
97844|226|44|3|160665.34|567541.18|485008.165
32031|431|70|1|8193.47|140183.51|730835.12
86556|1573|61|2|114050.37|766265.0|651292.12
41191|1546|43|2|971216.53|553807.72|46154.645
39274|498|85|2|282801.68|659824.28|467398.395
29460|676|38|2|877228.03|921885.85|167117.625
12628|1042|69|1|861474.47|517709.19|350995.54
34712|1097|27|1|534897.58|613053.35|411099.355
14249|1001|25|2|495393.48|939871.62|484761.52
44525|722|44|3|54406.87|890378.64|569970.395
48668|1709|25|1|533887.34|304966.17|255285.42
20084|862|21|1|32896.4|74301.22|517120.64
6426|100|36|2|569033.51|793632.03|713894.385
77179|1274|23|1|146165.9|269277.46|447821.24
5190|104|17|2|438868.74|698858.48|863473.845
84047|388|29|2|133273.83|691639.3|693809.52
