investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
7332|929|3|21|17|1|281041.79|8651.33
48176|1565|1|11|13|2|901325.38|3966.44
85825|1040|4|64|47|1|329390.75|11993.77
79990|943|4|77|24|2|955468.57|4242.83
40096|1065|5|20|14|2|889470.03|13409.0
77260|936|4|98|21|1|602518.4|2359.28
22181|1475|4|99|23|1|903893.58|1177.01
42783|820|3|64|30|2|844957.78|6201.14
86775|1646|2|43|17|1|840391.37|1646.6
59590|1165|4|86|38|2|267536.73|2534.14
91914|1425|2|36|3|1|768153.15|-2487.03
13533|1570|5|9|26|1|629751.46|-2372.24
23803|1316|5|25|38|1|136953.72|12418.83
59032|1539|2|83|8|1|540120.84|2243.29
52257|1213|4|4|22|3|6285.27|-1333.3
78763|456|4|69|40|1|367366.97|10359.97
95532|169|5|27|35|1|819768.0|14379.55
9656|1571|4|87|37|2|435409.26|-923.8
88777|1696|2|59|3|3|641264.02|11155.02
63018|502|2|20|10|1|123207.03|-3124.03
97346|1183|1|10|3|1|323362.6|4376.81
34827|937|1|23|33|2|928959.69|-1012.26
87943|1815|4|88|5|2|952252.92|14792.73
15615|756|5|72|24|3|462826.54|7257.37
995|658|2|30|45|3|192851.85|2480.78
65190|209|3|62|28|1|338260.03|-138.79
31737|1545|1|31|29|2|593983.77|-2718.78
97944|198|5|61|29|1|570263.51|540.25
84537|722|5|57|9|1|958126.35|-4163.06
93069|1485|5|30|21|2|740680.46|-855.88
53982|837|4|68|47|1|935495.11|11901.88
6221|311|3|80|37|3|190762.88|-4690.14
50691|1221|1|60|16|3|443136.68|6295.21
48053|751|4|21|29|1|501370.37|14657.26
50634|1187|3|15|31|3|717618.89|10027.95
70086|1748|4|61|42|1|291095.97|3626.59
43035|1499|5|68|47|1|130098.53|-3797.18
45507|1495|1|26|3|1|468648.06|3486.36
24109|55|5|46|46|2|928045.59|14965.92
83288|831|4|94|17|3|38331.88|-3128.42
84642|987|1|40|33|3|512910.58|12273.31
95420|708|5|23|34|3|276061.5|3376.38
64397|1477|2|33|18|3|58882.83|3893.43
89887|422|1|11|21|2|743527.7|13080.7
90940|716|1|78|50|3|502228.51|8749.78
83298|377|4|48|5|2|122697.34|6459.26
81050|346|5|23|5|1|113973.93|-4286.39
89973|897|2|46|14|2|679584.14|1914.43
