loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
33182|282|23|46|22|2|352432.01|Pending
59275|286|13|53|20|1|484674.89|Approved
82407|262|20|23|34|1|435600.46|Pending
1478|817|22|44|11|1|298201.08|Pending
9513|615|28|80|42|3|478491.09|Rejected
82207|1445|45|35|7|1|365713.71|Pending
97118|51|18|35|12|3|347443.32|Pending
50129|1662|7|51|5|2|102721.91|Approved
83410|1795|12|66|19|1|276531.38|Pending
22670|880|14|29|8|1|141423.6|Rejected
48622|1005|30|61|46|2|96883.18|Pending
21895|267|37|49|29|1|108295.95|Approved
90991|1535|47|59|7|3|33805.53|Approved
54501|1578|1|63|49|1|399203.22|Rejected
44210|351|16|7|21|1|68116.93|Approved
61284|1566|50|82|16|3|295322.34|Rejected
23177|679|21|64|38|2|114084.5|Approved
13741|1665|20|20|24|3|376478.86|Approved
78728|1279|4|65|8|2|70425.81|Approved
67594|1786|19|41|41|1|324132.95|Pending
6811|298|8|72|13|3|315062.34|Rejected
48846|1735|11|33|5|1|446273.98|Rejected
70145|1308|29|36|9|3|396295.19|Approved
20387|859|14|78|14|3|299997.19|Pending
76636|1304|44|87|36|1|300397.41|Pending
35810|531|38|78|33|2|13674.35|Pending
2103|752|32|88|34|2|396056.15|Pending
80055|1721|10|12|11|1|343139.99|Rejected
84683|1091|24|36|14|2|260593.02|Approved
12213|68|18|17|45|1|315842.77|Approved
43476|744|1|20|40|1|456058.91|Rejected
12097|386|35|13|38|2|314854.34|Rejected
94835|1207|9|97|15|1|367804.82|Approved
94971|1663|38|97|32|3|84772.05|Approved
92862|816|22|31|50|3|329067.03|Approved
8398|1742|50|93|48|1|287410.78|Pending
98154|1393|17|43|40|2|353806.86|Approved
74407|766|23|58|27|3|303056.3|Pending
85929|825|37|91|44|3|117795.15|Approved
82162|1512|29|82|47|3|118736.23|Approved
85593|303|14|45|50|1|404351.98|Approved
5351|324|16|64|9|2|482063.53|Approved
810|1232|17|36|48|1|347327.03|Approved
47227|1567|29|62|1|2|98142.33|Rejected
64885|1175|10|62|39|3|322649.81|Approved
71622|1558|45|27|40|1|43905.25|Approved
56083|432|44|17|50|1|467590.11|Pending
15210|970|46|30|4|1|109761.97|Rejected
32604|143|3|72|29|3|100642.96|Rejected
74256|1067|18|12|1|2|141674.59|Rejected
15213|143|33|75|6|3|9045.31|Pending
44222|671|49|8|1|3|99940.1|Rejected
75547|785|34|50|22|3|349559.99|Pending
72862|1317|3|31|26|1|298980.73|Approved
42368|366|1|32|33|1|51122.83|Pending
31115|1665|16|7|45|1|498266.15|Rejected
74388|385|32|32|11|3|482903.63|Rejected
81823|1166|16|28|17|2|102172.46|Rejected
87837|718|33|89|30|2|111845.53|Rejected
18817|876|34|53|32|2|113605.62|Rejected
34074|1173|42|73|31|2|279613.44|Pending
30611|241|49|2|44|1|56591.61|Approved
16953|1031|33|93|28|2|9089.91|Pending
1489|168|27|98|21|2|371441.5|Approved
86062|1092|49|58|33|3|173861.31|Pending
6855|1117|31|28|30|1|52371.49|Rejected
62119|24|17|6|4|3|228172.04|Rejected
12262|1750|9|79|45|3|228936.45|Rejected
57894|1143|49|9|7|2|47044.6|Rejected
54613|259|13|7|38|1|311793.75|Rejected
14312|1101|20|41|13|1|100388.57|Approved
50058|916|18|4|22|2|284426.06|Pending
35915|1051|37|69|4|2|355959.28|Rejected
72815|320|28|94|2|1|72513.47|Approved
22211|970|7|99|42|1|399297.63|Approved
39539|1786|34|66|13|3|109955.81|Approved
47393|1116|33|1|49|2|488316.78|Pending
46276|1258|3|20|27|3|432989.44|Approved
53825|228|28|69|38|2|51047.31|Approved
98141|502|12|23|41|3|353058.8|Pending
14819|933|22|53|3|2|352879.95|Approved
15707|444|23|66|16|3|487513.83|Approved
73621|881|10|31|41|2|126407.97|Approved
44882|417|16|32|39|3|224818.14|Rejected
6647|1470|47|41|38|3|251690.12|Pending
33770|1340|16|53|2|1|279374.7|Approved
33378|461|46|72|29|3|344583.11|Rejected
12049|1682|40|65|13|2|69198.46|Rejected
63534|770|49|6|32|1|462914.04|Rejected
16763|373|1|27|35|2|14261.63|Pending
81220|1480|40|31|9|1|473736.68|Pending
15432|849|26|67|7|2|397083.84|Approved
66048|191|43|55|1|3|201998.28|Pending
27515|1247|33|22|29|3|60811.22|Rejected
91905|1486|7|82|44|1|478351.11|Pending
57616|646|1|62|18|2|327669.05|Rejected
47799|214|28|72|15|1|294791.46|Pending
60193|1056|1|7|33|1|436693.54|Approved
59272|1564|46|7|41|3|432971.31|Rejected
52308|70|23|5|17|2|270616.06|Pending
78438|1600|22|36|47|2|313867.09|Pending
61252|1638|3|87|40|1|30374.88|Pending
76028|252|10|48|9|3|162058.29|Rejected
24931|488|27|45|25|2|194013.78|Approved
92484|1610|45|59|49|3|138859.24|Rejected
70518|231|24|51|32|3|157533.75|Approved
19872|681|48|2|46|3|254920.72|Rejected
98165|1134|40|28|34|2|41724.54|Pending
97852|1446|32|19|50|1|341895.79|Pending
10919|108|18|29|35|3|156959.66|Pending
78193|1192|45|73|4|1|261438.62|Pending
72933|466|3|57|21|1|423556.92|Pending
10627|1682|33|8|41|3|288854.8|Rejected
14592|453|43|68|40|3|76020.36|Pending
55838|1024|9|72|46|3|486928.08|Approved
67972|380|40|21|15|2|195984.91|Pending
52105|1064|4|79|1|3|195152.31|Pending
82411|534|41|65|20|1|217141.74|Approved
24687|889|49|79|7|1|206618.95|Approved
83700|1174|24|65|4|2|112934.95|Approved
13451|1442|37|35|39|2|124115.67|Rejected
85108|733|23|98|5|2|368403.37|Pending
61796|391|6|76|8|3|97295.43|Rejected
25005|1411|34|92|24|2|222992.27|Rejected
64419|423|25|45|50|3|97763.36|Rejected
46962|31|43|4|27|2|389227.45|Pending
44142|1067|27|13|20|2|473245.57|Pending
96042|860|13|4|37|1|182208.67|Approved
78646|80|12|81|9|2|255375.27|Rejected
76126|1691|17|73|5|3|331755.89|Approved
73339|500|13|69|3|3|434500.89|Pending
15382|1183|30|62|2|2|201913.43|Rejected
80947|215|47|5|25|2|41068.49|Pending
40924|1487|39|50|34|1|56146.02|Pending
42602|1390|6|80|35|1|496571.93|Pending
71967|1363|10|96|7|2|13524.21|Approved
19702|1193|11|97|32|2|377734.6|Approved
32498|1791|39|33|26|1|351989.23|Approved
76552|1305|45|89|12|1|82062.54|Rejected
59392|143|43|100|21|2|319993.77|Pending
91393|1574|43|55|44|2|323869.2|Pending
12627|1827|50|87|39|3|488511.37|Pending
87750|1080|31|96|22|1|171660.44|Pending
55287|1381|26|24|3|3|232237.66|Pending
51292|1108|31|62|48|2|449992.61|Pending
56544|1163|7|43|40|2|251502.22|Approved
95195|1617|2|26|49|2|254534.75|Pending
70208|1617|15|91|18|3|119477.06|Approved
81745|1725|32|18|22|1|416354.53|Rejected
5407|1761|12|35|22|3|421457.73|Rejected
22301|1630|1|14|15|3|255949.94|Pending
64381|915|1|40|17|2|420008.44|Rejected
72860|124|12|45|6|2|322591.51|Pending
6609|1638|50|36|28|1|323974.67|Approved
41805|1663|38|61|38|3|438724.18|Pending
13729|757|21|73|40|3|389903.14|Pending
55045|1786|34|27|37|2|362276.51|Rejected
85762|778|11|92|19|1|449119.71|Rejected
67794|446|11|37|48|1|370876.93|Pending
9689|1411|36|81|48|3|117173.02|Pending
65620|919|7|91|48|2|411691.33|Pending
73641|657|4|33|37|3|193068.04|Rejected
63846|535|17|24|8|1|372940.33|Rejected
37074|173|32|69|49|2|298464.27|Pending
66470|303|31|56|27|3|369238.1|Rejected
19774|461|35|26|2|2|421170.98|Pending
99510|1792|15|58|30|1|323763.75|Pending
48708|515|13|29|9|3|476776.67|Pending
74132|190|20|91|47|3|180623.76|Rejected
84444|1380|14|93|15|2|399809.45|Approved
18675|1580|33|17|30|3|462040.56|Pending
82914|1826|5|71|46|3|17519.68|Pending
53309|964|50|24|41|2|370012.75|Rejected
53851|822|37|97|50|2|38921.57|Approved
96103|1315|14|97|32|1|110809.0|Pending
84460|58|16|35|3|2|218634.64|Rejected
23176|550|16|99|20|3|74672.15|Rejected
71719|174|6|39|49|1|87314.42|Rejected
85159|251|35|48|12|1|142541.74|Rejected
74358|694|48|36|35|2|151930.48|Rejected
13449|588|40|13|46|2|404913.54|Rejected
35023|1538|24|6|37|3|490648.48|Approved
59324|335|1|25|19|1|485062.58|Rejected
82138|528|5|66|17|3|313334.69|Approved
47775|735|15|28|22|2|446449.69|Pending
81839|1386|10|52|19|3|478373.33|Approved
31983|390|10|20|5|3|375510.6|Approved
47964|179|19|93|41|2|12162.68|Pending
30722|622|27|86|36|1|74392.42|Approved
19819|754|4|4|1|2|20412.23|Rejected
46448|1444|25|33|14|1|312378.01|Pending
82957|586|7|24|24|1|313371.52|Pending
69261|125|15|100|42|2|222678.38|Pending
19003|1374|22|49|36|3|23610.1|Approved
25474|890|15|92|17|1|414255.58|Approved
23973|86|23|56|49|2|374617.27|Approved
4749|754|40|59|31|3|189218.74|Rejected
98064|437|13|49|49|3|335980.72|Pending
27651|1482|16|60|7|2|416398.82|Approved
13503|1534|21|11|46|1|225105.86|Pending
93369|773|44|60|12|3|322461.64|Rejected
83005|590|9|36|34|2|41485.56|Pending
34567|376|14|44|10|3|345656.12|Rejected
56551|506|18|48|38|3|453426.13|Rejected
85496|892|44|44|27|1|370894.0|Rejected
48559|1718|38|82|17|3|222425.36|Rejected
35652|485|13|44|26|2|413230.78|Approved
15357|1362|36|39|24|3|88270.62|Pending
78092|881|31|17|7|1|316563.24|Rejected
97534|1090|47|16|11|3|40481.93|Approved
29420|259|22|72|22|3|135793.04|Pending
32655|1427|44|27|6|1|324214.11|Rejected
37770|1285|36|80|14|1|409137.08|Approved
26270|44|25|50|28|3|195870.73|Rejected
60840|62|27|32|43|2|413974.28|Pending
18723|1749|6|71|10|3|358998.97|Pending
63317|701|15|33|49|2|152249.67|Approved
62068|1418|29|65|31|3|395525.69|Approved
71711|294|22|30|15|1|378082.74|Pending
32470|863|18|97|46|1|71667.86|Rejected
70898|1599|50|100|3|3|153665.31|Pending
84091|1108|31|28|20|2|166037.36|Approved
8803|330|45|49|33|3|243635.35|Rejected
99759|1431|46|29|31|3|280845.11|Approved
86400|799|22|29|15|1|128801.64|Rejected
76962|885|31|37|5|2|162019.51|Pending
32187|1587|34|58|12|1|104014.22|Approved
28665|1820|16|40|40|3|170949.94|Approved
26817|1503|18|13|25|2|327934.96|Rejected
2965|1581|9|91|34|1|94593.28|Pending
88227|1433|45|23|18|2|220971.19|Approved
71920|214|50|45|23|2|80465.13|Approved
18202|892|14|54|22|1|476050.65|Pending
99478|496|40|29|26|2|107585.02|Pending
26779|1554|19|82|31|3|431967.38|Pending
26948|1128|43|87|38|1|90644.28|Approved
56622|1251|25|55|5|1|293233.52|Pending
80595|741|28|45|8|2|414246.67|Approved
33512|1228|16|31|6|1|132709.95|Approved
54854|645|29|26|14|1|339685.85|Pending
86375|54|21|61|34|3|461646.4|Pending
25940|1386|26|40|49|1|259096.81|Pending
5767|1281|3|50|48|3|458711.71|Approved
6503|390|20|64|31|3|15399.04|Approved
54925|99|22|49|41|2|397529.33|Pending
7814|187|30|12|18|2|463352.37|Pending
65416|1041|10|93|12|1|422981.64|Rejected
96081|782|35|88|13|3|410013.14|Pending
62028|353|29|73|16|2|365862.94|Pending
37008|484|35|28|35|3|248221.51|Rejected
6916|1544|36|86|37|3|29562.84|Pending
27279|602|31|75|11|3|170792.37|Rejected
7826|1258|25|79|7|3|69280.64|Pending
12974|1358|6|11|8|2|227150.42|Rejected
10901|676|40|84|2|3|308761.95|Rejected
62702|665|31|61|41|2|355145.92|Approved
72010|537|46|63|30|3|409967.4|Approved
12793|975|4|54|38|3|182785.76|Rejected
81309|1142|3|65|28|1|63481.2|Rejected
83903|1387|47|63|43|3|397653.43|Approved
18152|737|14|24|12|2|205135.09|Rejected
91118|362|32|63|50|1|172668.05|Rejected
33596|379|45|34|29|3|305550.1|Rejected
63259|1282|16|14|12|3|135627.29|Pending
82518|55|15|91|6|3|79342.14|Approved
38035|24|44|25|3|3|275519.49|Pending
43316|1645|37|18|38|2|69996.63|Pending
10125|1607|44|71|8|2|177657.79|Rejected
92243|109|40|2|17|3|133053.45|Pending
21285|1154|15|72|35|1|161413.68|Approved
56744|133|38|80|22|3|499711.78|Pending
29047|525|28|27|44|2|493373.09|Pending
15924|904|36|65|32|3|271852.85|Rejected
85420|1581|41|44|16|3|486118.64|Rejected
87405|286|15|70|19|2|171800.85|Rejected
76791|656|3|48|38|3|280918.44|Rejected
42723|713|20|33|20|2|78846.49|Rejected
12595|422|45|98|7|2|366291.52|Rejected
33294|1241|6|9|15|3|46437.4|Rejected
31894|1118|28|10|46|3|66854.11|Pending
19751|1063|43|79|28|1|302711.18|Pending
63283|1756|46|64|32|3|490852.23|Rejected
93293|734|41|56|38|3|206498.86|Pending
10563|580|7|4|2|2|56423.17|Rejected
15572|1183|27|72|21|1|341158.83|Rejected
29976|659|41|47|36|3|479075.77|Approved
33239|1073|28|38|22|1|178906.24|Rejected
31049|1228|22|12|28|2|126372.33|Pending
60772|657|44|9|2|2|456833.21|Rejected
