transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
75884|1455|4|3|2|37|3|6519.27|Completed
29260|1104|1|39|2|38|2|6434.26|Pending
68606|1423|3|76|5|17|2|7332.67|Completed
12199|259|3|62|2|40|1|9520.19|Failed
53296|578|3|71|3|24|2|5630.68|Completed
22648|1008|4|65|2|6|2|939.14|Failed
35582|1296|4|50|5|7|1|8246.63|Pending
99387|1230|1|10|5|48|3|5405.99|Pending
22166|1033|3|83|4|49|2|4664.83|Completed
29662|1302|3|72|1|1|2|750.78|Completed
15463|1076|4|67|4|28|2|4031.57|Failed
10931|358|1|92|1|19|3|1096.94|Failed
54109|882|3|59|4|28|2|1713.87|Failed
36357|278|2|63|3|3|3|2685.94|Pending
78756|1776|4|54|3|35|3|6811.14|Failed
95818|1189|4|44|2|42|3|7633.8|Pending
37069|1239|1|60|4|3|1|220.2|Failed
22689|685|4|64|3|12|1|3980.57|Pending
7790|351|2|96|4|39|2|8567.06|Pending
81663|771|4|11|4|1|1|4394.97|Pending
78441|303|2|37|1|11|2|2033.06|Failed
74955|1493|2|31|2|5|2|5153.24|Failed
3955|1096|4|26|3|38|1|5289.41|Completed
79887|293|1|78|1|44|3|4706.03|Failed
52074|1296|3|8|4|25|1|2312.06|Completed
33486|911|4|66|5|20|2|8310.56|Completed
20642|42|4|44|3|9|1|3809.11|Pending
45187|772|4|14|3|13|2|7551.7|Pending
54303|1750|2|9|3|26|1|8574.11|Pending
28465|96|3|31|2|26|2|330.96|Failed
33723|598|4|92|1|16|1|4219.39|Pending
46751|1317|4|87|1|14|3|9417.83|Completed
8765|937|2|3|5|34|2|2674.66|Completed
4946|430|2|98|2|47|2|7981.73|Failed
5099|920|2|97|1|10|3|4439.87|Pending
98640|1012|1|55|1|36|1|5483.6|Pending
47980|582|4|7|1|32|1|6526.46|Failed
19114|235|1|25|4|16|1|6882.65|Completed
35081|1197|1|94|4|14|1|2966.06|Failed
4028|1221|4|69|3|34|1|7774.9|Failed
61855|162|1|18|2|48|2|7164.23|Completed
51105|1577|3|44|2|11|3|2785.18|Completed
35654|1550|4|21|4|35|1|6699.86|Failed
12005|447|3|32|1|30|2|4628.24|Pending
79011|12|3|59|5|30|3|1547.21|Completed
69352|877|2|66|4|19|1|6078.31|Failed
40945|1727|3|59|3|41|2|1216.12|Pending
88775|1560|4|15|5|5|3|646.14|Failed
92337|476|3|10|2|11|1|7664.34|Pending
14367|1252|4|75|5|50|1|2703.92|Failed
72591|602|2|11|2|10|3|9489.23|Failed
80141|93|2|10|5|38|1|3431.53|Failed
37730|870|4|98|1|43|2|564.13|Pending
68411|1718|4|48|5|6|3|6156.79|Completed
60397|1791|1|83|2|25|1|4056.26|Pending
52754|1212|2|61|4|18|1|3380.33|Pending
53071|529|2|46|2|25|2|9308.41|Pending
89549|55|4|84|1|33|3|1432.97|Completed
1702|791|3|39|5|18|2|5018.82|Pending
43215|422|2|14|4|50|2|222.48|Failed
69565|783|1|57|4|30|3|3221.83|Completed
38509|720|2|24|3|40|3|147.13|Completed
11976|1799|2|69|1|22|3|1657.22|Pending
72236|1103|2|37|5|8|3|3399.06|Completed
44711|922|3|80|4|8|2|269.81|Failed
43681|552|4|34|4|40|3|2155.91|Pending
5195|1275|3|84|5|33|2|9239.48|Completed
33995|732|3|64|2|34|2|7904.38|Pending
4382|479|4|98|3|33|3|7668.5|Pending
21887|1016|3|47|1|19|3|5311.71|Completed
42063|1798|4|22|3|16|3|2624.01|Failed
32021|1730|4|33|2|40|3|930.82|Failed
37895|1096|4|84|3|40|1|4958.49|Pending
33157|1728|1|54|4|35|1|3561.3|Failed
51019|102|4|89|4|34|3|761.01|Failed
49856|1086|1|59|1|24|2|3005.21|Failed
72909|933|2|83|1|10|3|8958.75|Completed
22396|78|1|47|5|30|3|5668.94|Pending
29096|488|4|50|5|16|2|3058.31|Pending
42576|354|2|6|2|2|2|7132.27|Completed
5913|1417|1|23|3|6|2|6737.53|Pending
58524|1086|3|31|3|46|3|1828.6|Completed
45188|1011|1|74|1|16|2|5158.71|Pending
2693|1126|1|40|2|25|1|5459.81|Pending
10913|849|2|60|2|24|1|5498.29|Pending
85288|1398|1|29|5|12|3|552.92|Failed
8143|1521|1|56|1|27|1|3763.58|Completed
94537|1527|3|63|2|1|1|2516.52|Pending
76466|1227|3|100|3|39|2|2072.47|Completed
57774|1811|3|69|3|16|3|8181.26|Pending
99667|1295|4|86|5|28|2|1228.54|Pending
95770|1146|2|90|1|7|1|2675.6|Pending
9549|1515|3|71|2|8|1|5073.16|Completed
79664|1443|1|47|5|9|1|8675.15|Completed
65122|943|2|53|2|44|3|7466.49|Completed
1420|1357|1|34|1|31|3|3825.78|Pending
18950|1392|3|44|4|2|2|9317.25|Pending
82509|1109|1|60|2|18|2|4867.72|Completed
33219|1609|2|94|5|40|2|7229.16|Pending
28152|513|4|36|5|25|2|5306.67|Failed
67991|1387|3|66|4|50|2|5916.85|Completed
26525|74|3|74|5|13|1|5209.73|Pending
21467|684|2|70|3|37|1|449.68|Completed
67963|1580|1|74|5|17|2|2322.37|Pending
36060|678|1|5|2|50|3|7934.5|Pending
93056|1063|1|74|2|23|1|2767.59|Pending
43228|1188|4|58|5|19|2|6701.49|Completed
4246|474|1|41|4|3|3|2365.7|Pending
49191|1134|2|72|1|7|3|176.39|Failed
73399|1023|1|15|5|49|2|5065.31|Failed
96541|371|4|64|4|49|3|6296.64|Pending
650|1577|1|39|2|47|3|8731.44|Completed
50408|1408|4|42|2|34|3|8834.0|Pending
20553|372|1|47|3|47|2|8671.02|Failed
34199|661|4|58|1|33|1|7202.13|Pending
84864|44|4|98|2|43|3|1487.15|Failed
29642|1117|1|11|5|18|1|313.97|Failed
65786|1564|1|17|1|1|1|6836.95|Failed
99385|15|3|39|1|17|3|8955.96|Pending
13132|1175|1|59|5|43|1|4656.33|Completed
72582|198|1|25|2|6|3|3183.34|Completed
46684|339|1|97|5|18|3|2657.54|Pending
86790|1212|2|92|2|43|1|826.98|Failed
37093|1761|4|51|5|23|2|7550.43|Completed
88244|1549|2|79|5|47|1|7161.57|Completed
12626|714|4|77|5|26|1|7876.74|Failed
49530|470|2|2|1|31|1|5375.32|Failed
29251|904|1|43|1|8|3|8814.32|Completed
90136|175|1|23|3|8|2|4608.08|Completed
